category_id,category,mcc_code,average_ticket_size,min_amount,max_amount,refund_probability,chargeback_probability,settlement_cycle,risk_level
1,Grocery,5411,1200,50,10000,0.03,0.002,T+1,LOW
2,Food & Restaurants,5812,650,100,5000,0.04,0.003,T+1,LOW
3,Fuel,5541,2500,200,8000,0.01,0.001,T+1,LOW
4,Pharmacy,5912,900,100,15000,0.02,0.002,T+1,LOW
5,Healthcare,8011,5000,300,200000,0.02,0.001,T+2,MEDIUM
6,Electronics,5732,28000,1000,300000,0.08,0.015,T+2,HIGH
7,Fashion,5651,3500,300,50000,0.06,0.008,T+2,MEDIUM
8,Travel,4511,15000,500,500000,0.10,0.020,T+3,HIGH
9,Entertainment,7832,800,100,15000,0.05,0.004,T+1,LOW
10,Education,8299,35000,1000,500000,0.01,0.001,T+3,LOW
11,Hotels,7011,7000,1000,100000,0.07,0.010,T+2,MEDIUM
12,Jewellery,5944,85000,5000,1000000,0.04,0.030,T+3,HIGH
13,Furniture,5712,22000,2000,300000,0.05,0.012,T+3,MEDIUM
14,Insurance,6300,18000,500,500000,0.01,0.001,T+2,LOW
15,Telecom,4814,900,100,10000,0.02,0.003,T+1,LOW
16,Utilities,4900,2500,100,50000,0.01,0.001,T+1,LOW
17,E-commerce,5969,4500,100,250000,0.09,0.018,T+2,HIGH
18,Subscription Services,5968,700,99,10000,0.08,0.010,T+1,MEDIUM
19,Gaming,7994,1200,50,50000,0.12,0.025,T+2,HIGH
20,Government Services,9399,2500,50,100000,0.00,0.000,T+1,LOW
21,Real Estate,6513,250000,10000,5000000,0.00,0.005,T+5,HIGH
22,Charity & Donations,8398,1200,50,100000,0.01,0.001,T+1,LOW
23,Automobile,5511,45000,5000,2000000,0.03,0.010,T+3,HIGH
24,Beauty & Wellness,7230,1800,100,25000,0.04,0.004,T+1,LOW
25,Sports & Fitness,7941,2500,200,30000,0.05,0.006,T+1,LOW
